"Бицепс"
"Бицепс EZ-гриф"
"Бицепс на блоке"
"Бицепс с гантелью в короткой амплитуде"
"Бицепс с гантелями"
"Бицепс стоя со штангой"
"Бицепс стоя со штангой обратным хватом"
"Бицепс строгий"
"Боковой нажим"
"Взрывные отжимания"
"Взятие на грудь"
"Взятие на грудь с виса"
"Взятие на грудь с плинтов"
"Взятие на грудь+присед+толчок"
"Военный жим"
"Выпады с гантелями"
"Выпады со штангой"
"Гакк-присед"
"Гиперэкстензии"
"Гудмонинги"
"Жим в раме (дожим)"
"Жим в раме (старт)"
"Жим в хаммере"
"Жим гантелей вниз головой"
"Жим гантелей лежа на гор скамье"
"Жим гантелей лежа на накл скамье"
"Жим гантелей сидя"
"Жим из-за головы"
"Жим лежа"
"Жим лежа без моста"
"Жим лежа с резиной"
"Жим лежа средним хватом"
"Жим лёжа средним хватом в силовой раме"
"Жим лежа узким хватом"
"Жим лежа широким хватом"
"Жим на наклонной скамье"
"Жим ногами"
"Жим с бруса 5 см"
"Жим с остановками"
"Жим с паузой 2 секунды"
"Жим с цепями (штанга+цепи)"
"Жим Соца (Sots Press)"
"Жим стоя"
"Жим узким хватом"
"Жим штанги вниз головой"
"Жим-разводка гантелей"
"Икры сидя"
"Икры стоя"
"Иммитация верха"
"Кисть РР"
"Классическая становая тяга"
"Классическая становая тяга с плинтов"
"Кластер"
"Кроссовер"
"Махи гантелями"
"Махи с гантелями"
"Махи с гантелями в наклоне"
"Махи с гантелями перед собой"
"Молотковые сгибания"
"Наклоны со штангой"
"Наклоны со штангой сидя"
"Отведение СБ"
"Отжимания на брусьях"
"Отжимания от пола"
"Подтягивание"
"Подтягивание "
"Подтягивание в гравитроне"
"Подтягивание обратным хватом"
"Подтягивание прямым хватом"
"Подтягивания"
"Подъем гантелей в стороны"
"Подъем гантелей в стороны в наклоне"
"Подъем гантелей на бицепс стоя"
"Подъем гантели перед собой"
"Подъем коленей (пресс)"
"Подъем на носкок в тренажере"
"Подъем ног (пресс)"
"Подъем ног к перекладине"
"Подъем таза"
"Подъем туловища (пресс)"
"Пресс в тренажере (скрючивания)"
"Приведение к плечу"
"Приведение к плечу"
"Присед"
"Присед (в комбинезоне)"
"Присед в бинтах"
"Присед в широкой постановке"
"Присед зерхера"
"Присед на груди"
"Присед на груди на лавку"
"Присед на лавку в широкой постановке"
"Присед с паузой"
"Присед ТА"
"Присед. в рывк. хвате (оверхед)"
"Приседание до параллели"
"Приседание на ящик"
"Пронация верхняя"
"Пронация нижняя"
"Пронация СБ"
"Протяжка рывковым хватом"
"Протяжка рывковым хватом+присед рывковый"
"Прыжки на тумбу"
"Пулловер с гантелей"
"Разводка гантелей на гор скамье"
"Разгибания ног"
"Разгибания с гантелью из-за головы"
"Румынская тяга"
"Рывковая протяжка"
"Рывковый уход"
"Рывок"
"Рывок в стойку"
"Рывок с виса"
"Рывок с плинтов"
"Сведение ног в тренажере"
"Сведение рук в тренажере"
"Сведения в тренажере"
"Сгибание ног в тренажере"
"Сконц. подъем на бицепс сидя"
"Скоростной жим"
"Скручивания (пресс)"
"Становая тяга"
"Становая тяга из ямы"
"Становая тяга на прямых ногах"
"Становая тяга оси Аполлона"
"Становая тяга с остановками"
"Становая тяга с плинтов"
"Становая тяга сумо"
"Толчок"
"Толчок со стоек"
"Трастер"
"Трицепс на блоке"
"Тяга Блока за голову"
"тяга блока к груди"
"Тяга блока к поясу"
"Тяга в наклоне"
"Тяга верхнего блока к груди"
"Тяга гантели в наклоне"
"Тяга гантели к животу"
"Тяга до колен"
"Тяга из ямы на прямых ногах"
"Тяга к животу на Т-грифе"
"Тяга к подбородку"
"Тяга на блоке за голову"
"Тяга нижнего блока к животу"
"Тяга рывковая"
"Тяга с подчеркнутым стартом"
"Тяга т-грифа"
"Тяга толчковая"
"Тяга штанги в наклоне"
"Тяга штанги к животу"
"Тяга штанги к подбородку"
"Уступающая тяга"
"Уступающие синглы"
"Уступающий жим"
"Французский жим лежа"
"Французский жим сидя"
"Фронтальный присед на лавку"
"Швунг жимовой"
"Швунг толчковый"
"Шраги с гантелями"
"Шраги со штангой"
